"date","site","time.out","time.collected","position","updown","c.vert.pigment.added","c.vert.n.flowers","c.vert.n.high.pigment","c.vert.n.low.pigment","m.fist.n.flowers.pigment.added","m.fist.n.inflorescences.pigment.added","m.fist.n.flowers","m.fist.n.inflorescences","m.fist.n.pigment.high","m.fist.inflor.pigment.high","m.fist.n.pigment.low","m.fist.inflor.pigment.low","m.fist.inflor.pigment","notes"
44018,"Taylor at Peach",0.427083333333333,0.756944444444445,"across",NA,29,41,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Dixboro at Gardenview Dr",0.395833333333333,0.722222222222222,"across",NA,23,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Plymouth at Nixon",0.411111111111111,0.735416666666667,"across",NA,10,22,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Broadway at AA Reformed Church",0.372916666666667,0.708333333333333,"across",NA,15,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"Maryfield dr",0.405555555555556,0.729861111111111,"across",NA,20,24,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44018,"W. Huron St. and Eigth St.",0.41875,17.39,"across",NA,24,19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"North Main at FFN",0.381944444444444,0.736111111111111,"across",NA,28,38,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"Whitmore Lk at Stein",0.401388888888889,0.744444444444444,"across",NA,16,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44019,"Dhu Varren at Food Gatherers",0.423611111111111,0.754861111111111,"across",NA,37,19,0,8,95,9,74,14,10,3,22,6,6,NA
44020,"Wright at Kellogg",0.367361111111111,0.754166666666667,"across",NA,38,6,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain; some dye washed away so could not distinguish 'high' and 'low' pollen"
44020,"Fuller Rd at Furstenburg Park",0.391666666666667,0.765277777777778,"across",NA,17,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain"
44020,"Geddes at Gallup entrance",0.420138888888889,0.76875,"across",NA,19,12,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rain, but plant appeared sheltered"
44021,"Plymouth at water tower",0.361111111111111,0.695833333333333,"across",NA,34,30,0,0,66,16,187,23,0,0,0,0,0,NA
44021,"Traver Rd",0.388194444444444,0.709722222222222,"across",NA,21,5,0,4,23,4,132,15,0,0,0,0,0,NA
44025,"1213 Miller Ave",0.409722222222222,0.75,"across",NA,40,21,3,5,332,30,87,14,1,1,2,2,2,NA
44025,"Jackson Ave at Veteran's Park",0.4375,0.755555555555556,"across",NA,30,14,0,0,174,22,435,32,0,0,3,1,1,NA
