"","Data associated with the publication ""Roads pose a significant barrier to bee movement, mediated by road size, traffic, and bee identity"", by Gordon Fitch and Chatura Vaidya, published in Journal of Applied Ecology","...2","...3"
"1","Explanations of data, by sheet",NA,NA
"2",NA,NA,NA
"3","Sheet","Variable","Explanation"
"4","roadcomp",NA,"Data on pigment transfer to experimental plants"
"5",NA,"date","Date of observation"
"6",NA,"site","Site name"
"7",NA,"time.out","Time plants were placed"
"8",NA,"time.collected","Time plants were removed"
"9",NA,"position","Location of plants relative to pigment-added plant: along (same side of road) or across (opposite side of road)"
"10",NA,"updown","Location of along plant relative to pigment-added plant and direction of traffic: upstream (along plant was located in direction against the flow of traffic) or downstream (along plants was located in the direction of traffic flow)"
"11",NA,"c.vert.pigment.added","Number of inflorescences where pigment was applied in pigment-added coreopsis plant"
"12",NA,"c.vert.n.flowers","Number of inflorescences with open flowers on target coreopsis plant"
"13",NA,"c.vert.n.high.pigment","Number of inflorescences with high levels of pigment on reproductive parts of target coreopsis"
"14",NA,"c.vert.n.low.pigment","Number of inflorescences with low levels of pigment on reproductive parts of target coreopsis"
"15",NA,"m.fist.n.flowers.pigment.added","Number of flowers where pigment was applied in pigment-added monarda plant"
"16",NA,"m.fist.n.inflorescences.pigment.added","Number of inflorescences where pigment was applied in pigment-added monarda plant"
"17",NA,"m.fist.n.flowers","Number of open flowers on target monarda plant"
"18",NA,"m.fist.n.inflorescences","Number of inflorescences with open flowers on target monarda plant"
"19",NA,"m.fist.n.pigment.high","Number of flowers with high levels of pigment on target monarda"
"20",NA,"m.fist.inflor.pigment.high","Number of inflorescences with high levels of pigment on target monarda"
"21",NA,"m.fist.n.pigment.low","Number of flowers with low levels of pigment on target monarda"
"22",NA,"m.fist.inflor.pigment.low","Number of inflorescences with low levels of pigment on target monarda"
"23",NA,"m.fist.inflor.pigment","Total number of inflorescences with pigment on target monarda"
"24",NA,"notes",NA
"25",NA,NA,NA
"26","roadveg",NA,"Data from surveys of roadside vegetation characteristics"
"27",NA,"site","Site name"
"28",NA,"lane","Number of lanes of traffic. Trail - pedestrian pathway; bike - bicycle pathway"
"29",NA,"position","Location of plants relative to pigment-added plant: along (same side of road) or across (opposite side of road)"
"30",NA,"seminatural","Whether roadside vegetation included seminatural (unmowed, managed by controlled burn) meadow habitat (1 - yes/0 - no)"
"31",NA,"weed","Whether roadside vegetation included unmanaged weedy vegetation (1 -yes/0 - no)"
"32",NA,"lawn","Whether roadside vegetation included lawn  (1 -yes/0 - no)"
"33",NA,"flowering bed","Whether roadside vegetation included ornamental flowerbeds  (1 -yes/0 - no)"
"34",NA,"flowers","Whether roadside vegetation included significant floral resources (presence of seminatural meadow, weeds, and/or flowerbeds;  1 -yes/0 - no)"
"35",NA,NA,NA
"36","roadsite",NA,"Data on site characteristics"
"37",NA,"site","Site name"
"38",NA,"latitude",NA
"39",NA,"longitude",NA
